family,pair,src,donor,layer,acc_src,acc_donor,other
nonce,repetition->swap_ends,repetition,swap_ends,10,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,11,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,12,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,13,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,14,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,15,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,16,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,17,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,18,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,19,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,20,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,21,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,22,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,23,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,24,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,25,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,26,0.0,0.0,1.0
nonce,repetition->swap_ends,repetition,swap_ends,27,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,0,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,1,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,2,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,3,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,4,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,5,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,6,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,7,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,8,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,9,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,10,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,11,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,12,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,13,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,14,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,15,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,16,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,17,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,18,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,19,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,20,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,21,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,22,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,23,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,24,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,25,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,26,0.0,0.0,1.0
nonce,repetition->rotate_left,repetition,rotate_left,27,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,0,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,1,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,2,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,3,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,4,0.0,0.0,1.0
nonce,repetition->suffix_ed,repetition,suffix_ed,5,0.0,0.0,1.0
